state_id,Year,min_wage
0,1968,8.55
0,1969,8.11
0,1970,8.67
0,1971,8.3
0,1972,9.9
0,1973,9.32
0,1974,8.39
0,1975,7.69
0,1976,10.0
0,1977,9.39
0,1978,8.73
0,1979,10.33
0,1980,9.73
0,1981,9.53
0,1982,8.98
0,1983,8.7
0,1984,8.34
0,1985,8.05
0,1986,7.91
0,1987,7.63
0,1988,7.32
0,1989,6.99
0,1990,6.63
0,1991,7.22
0,1992,7.84
0,1993,7.61
0,1994,7.42
0,1995,7.21
0,1996,7.01
0,1997,7.66
0,1998,8.17
0,1999,8.0
0,2000,7.74
0,2001,7.52
0,2002,7.4
0,2003,7.24
0,2004,7.05
0,2005,6.82
0,2006,6.61
0,2007,6.42
0,2008,7.03
0,2009,7.9
0,2010,8.6
0,2011,8.34
0,2012,8.17
0,2013,8.05
0,2014,7.92
0,2015,7.91
0,2016,7.81
0,2017,7.65
0,2018,7.47
0,2019,7.34
0,2020,7.25
1,1968,15.61
1,1969,14.8
1,1970,14.0
1,1971,13.41
1,1972,12.99
1,1973,12.23
1,1974,11.02
1,1975,10.1
1,1976,12.73
1,1977,11.95
1,1978,11.11
1,1979,12.11
1,1980,11.3
1,1981,10.96
1,1982,10.32
1,1983,10.0
1,1984,9.58
1,1985,9.26
1,1986,9.09
1,1987,8.77
1,1988,8.42
1,1989,8.03
1,1990,7.62
1,1991,8.17
1,1992,8.76
1,1993,8.5
1,1994,8.29
1,1995,8.06
1,1996,7.83
1,1997,8.46
1,1998,8.97
1,1999,8.77
1,2000,8.49
1,2001,8.25
1,2002,8.12
1,2003,10.05
1,2004,9.79
1,2005,9.47
1,2006,9.17
1,2007,8.92
1,2008,8.59
1,2009,8.62
1,2010,9.19
1,2011,8.91
1,2012,8.73
1,2013,8.61
1,2014,8.47
1,2015,9.55
1,2016,10.51
1,2017,10.34
1,2018,10.14
1,2019,10.31
1,2020,10.19
2,1968,8.55
2,1969,8.11
2,1970,8.67
2,1971,8.3
2,1972,9.9
2,1973,9.32
2,1974,8.39
2,1975,7.69
2,1976,10.0
2,1977,9.39
2,1978,8.73
2,1979,10.33
2,1980,9.73
2,1981,9.53
2,1982,8.98
2,1983,8.7
2,1984,8.34
2,1985,8.05
2,1986,7.91
2,1987,7.63
2,1988,7.32
2,1989,6.99
2,1990,6.63
2,1991,7.22
2,1992,7.84
2,1993,7.61
2,1994,7.42
2,1995,7.21
2,1996,7.01
2,1997,7.66
2,1998,8.17
2,1999,8.0
2,2000,7.74
2,2001,7.52
2,2002,7.4
2,2003,7.24
2,2004,7.05
2,2005,6.82
2,2006,6.61
2,2007,8.42
2,2008,8.29
2,2009,8.74
2,2010,8.6
2,2011,8.45
2,2012,8.62
2,2013,8.66
2,2014,8.63
2,2015,8.79
2,2016,8.68
2,2017,10.55
2,2018,10.82
2,2019,12.14
2,2020,12.0
3,1968,8.55
3,1969,8.11
3,1970,8.67
3,1971,8.3
3,1972,9.9
3,1973,9.32
3,1974,8.39
3,1975,7.69
3,1976,10.0
3,1977,9.39
3,1978,8.73
3,1979,10.33
3,1980,9.73
3,1981,9.53
3,1982,8.98
3,1983,8.7
3,1984,8.34
3,1985,8.05
3,1986,7.91
3,1987,7.63
3,1988,7.32
3,1989,6.99
3,1990,6.63
3,1991,7.22
3,1992,7.84
3,1993,7.61
3,1994,7.42
3,1995,7.21
3,1996,7.01
3,1997,7.66
3,1998,8.17
3,1999,8.0
3,2000,7.74
3,2001,7.52
3,2002,7.4
3,2003,7.24
3,2004,7.05
3,2005,6.82
3,2006,6.61
3,2007,7.8
3,2008,7.51
3,2009,7.9
3,2010,8.6
3,2011,8.34
3,2012,8.17
3,2013,8.05
3,2014,7.92
3,2015,8.18
3,2016,8.62
3,2017,8.97
3,2018,8.76
3,2019,9.36
3,2020,10.0
4,1968,12.26
4,1969,11.63
4,1970,11.0
4,1971,10.54
4,1972,10.21
4,1973,9.61
4,1974,8.66
4,1975,7.93
4,1976,10.0
4,1977,9.39
4,1978,8.73
4,1979,10.33
4,1980,9.73
4,1981,9.53
4,1982,8.98
4,1983,8.7
4,1984,8.34
4,1985,8.05
4,1986,7.91
4,1987,7.63
4,1988,7.32
4,1989,6.99
4,1990,6.63
4,1991,8.07
4,1992,7.84
4,1993,7.61
4,1994,7.42
4,1995,7.21
4,1996,7.01
4,1997,7.66
4,1998,8.17
4,1999,8.0
4,2000,8.64
4,2001,9.13
4,2002,9.71
4,2003,9.49
4,2004,9.24
4,2005,8.94
4,2006,8.66
4,2007,9.36
4,2008,9.61
4,2009,9.65
4,2010,9.49
4,2011,9.2
4,2012,9.01
4,2013,8.88
4,2014,9.83
4,2015,9.82
4,2016,10.78
4,2017,10.55
4,2018,11.33
4,2019,12.14
4,2020,13.0
5,1968,8.55
5,1969,8.11
5,1970,8.67
5,1971,8.3
5,1972,9.9
5,1973,9.32
5,1974,8.39
5,1975,7.69
5,1976,10.0
5,1977,9.39
5,1978,8.73
5,1979,10.33
5,1980,9.73
5,1981,9.53
5,1982,8.98
5,1983,8.7
5,1984,8.34
5,1985,8.05
5,1986,7.91
5,1987,7.63
5,1988,7.32
5,1989,6.99
5,1990,6.63
5,1991,7.22
5,1992,7.84
5,1993,7.61
5,1994,7.42
5,1995,7.21
5,1996,7.01
5,1997,7.66
5,1998,8.17
5,1999,8.0
5,2000,7.74
5,2001,7.52
5,2002,7.4
5,2003,7.24
5,2004,7.05
5,2005,6.82
5,2006,6.61
5,2007,8.55
5,2008,8.43
5,2009,8.78
5,2010,8.6
5,2011,8.46
5,2012,8.61
5,2013,8.64
5,2014,8.74
5,2015,8.98
5,2016,8.96
5,2017,9.81
5,2018,10.51
5,2019,12.14
5,2020,12.0
6,1968,10.41
6,1969,9.87
6,1970,10.67
6,1971,10.22
6,1972,11.45
6,1973,10.78
6,1974,9.71
6,1975,8.89
6,1976,10.05
6,1977,9.43
6,1978,8.77
6,1979,10.37
6,1980,9.79
6,1981,9.59
6,1982,9.03
6,1983,8.75
6,1984,8.39
6,1985,8.1
6,1986,7.95
6,1987,7.67
6,1988,8.2
6,1989,7.82
6,1990,7.42
6,1991,8.07
6,1992,7.87
6,1993,7.64
